a_f32_bits,a_f32,tf_bits,tf_f32
0,0.0,0,0.0
1065353216,1.0,68719477144,1.0
3212836864,-1.0,137438953880,-1.0
1077936128,3.0,68719477145,3.0
3225419776,-3.0,137438953881,-3.0
1056964608,0.5,91625969050,0.49999988079071045
3204448256,-0.5,183251937690,-0.49999988079071045
1051372203,0.3333333333,68719477146,0.3333333432674408
1069547520,1.5,91625969048,1.4999996423721313
1073741824,2.0,412316860824,2.0
1075838976,2.5,320690891160,2.500000238418579
1036831949,0.1,310450342276,0.09999999403953552
3184315597,-0.1,569158960516,-0.09999999403953552
1120403456,100.0,94757716369,100.0
3267887104,-100.0,176630530449,-100.0
981668463,0.001,440255255938,0.0009999999310821295
925353388,1e-05,451598133669,9.99999883788405e-06
1150964267,1234.5678,448398426516,1234.56787109375
3323613740,-9876.5432,641319899434,-9876.54296875
1109917696,42.0,455266533776,42.0
3257401344,-42.0,639950127504,-42.0
3274097312,-166.76025390625,628509479313,-166.76025390625
3295996505,-979.6616821289062,172356557204,-979.66162109375
1143118447,650.4130249023438,309663450518,650.4130249023438
3284753458,-402.72027587890625,636077345174,-402.7203063964844
3280180892,-263.1766357421875,147745806742,-263.1766357421875
3289983833,-612.6773071289062,572455934358,-612.6773071289062
1124336687,132.01634216308594,448825402769,132.016357421875
3291031541,-676.6243286132812,576147507606,-676.624267578125
3292257751,-751.4662475585938,140033745300,-751.4663696289062
3271958689,-134.12745666503906,635959777681,-134.12747192382812
1123569759,124.15697479248047,457705017745,124.15699005126953
3290616838,-651.3128662109375,567507814806,-651.3129272460938
1121247844,106.44216918945312,88399757713,106.4421615600586
3281066303,-290.1972351074219,177810708886,-290.1972351074219
1147471947,916.1295776367188,95715153300,916.12939453125
3293338203,-817.4118041992188,146677205396,-817.4119873046875
1148146155,957.2799682617188,88387256724,957.2798461914062
3274687199,-175.76121520996094,658574154129,-175.76121520996094
1090247954,7.870736122131348,311563683225,7.870736122131348
3291475274,-703.7076416015625,554673767830,-703.7076416015625
1138423703,437.9342956542969,452592010646,437.9342956542969
3290104746,-620.0572509765625,571307530646,-620.0573120117188
3281940616,-316.879150390625,173481018774,-316.8791198730469
3295558985,-952.9575805664062,173426364820,-952.9574584960938
3282074483,-320.9644470214844,172068211094,-320.9644775390625
1147780545,934.9649047851562,88617784724,934.9647827148438
1148151348,957.596923828125,88409915796,957.5966796875
1140098993,489.0600891113281,412592154006,489.06005859375
3296216527,-993.0907592773438,174351352212,-993.0905151367188
1146887815,880.4769897460938,95182686612,880.4769287109375
1144611372,741.533935546875,69082899860,741.5340576171875
1141336780,541.668701171875,438522893718,541.6686401367188
3290468392,-642.25244140625,568586568086,-642.2523803710938
3293069324,-801.000732421875,146297333140,-801.0009155273438
3274370912,-170.93505859375,627092898193,-170.93507385253906
1145095339,771.0729370117188,75834598804,771.0731811523438
1125919756,156.17205810546875,422091837841,156.1720733642578
1139578124,473.1644287109375,415141005718,473.1644592285156
3288707200,-534.7578125,658901707158,-534.7578125
1111279576,47.195159912109375,453561914768,47.195159912109375
1137795822,418.77288818359375,453828056470,418.77288818359375
1143106239,649.6679077148438,309673871766,649.6679077148438
1142525937,614.2490844726562,320404564374,614.2490234375
3288717456,-535.3837890625,658911041942,-535.3837890625
1144690769,746.3799438476562,70368203156,746.3799438476562
3289239374,-567.2391357421875,652873441686,-567.2391357421875
1142354714,603.7984619140625,434972001686,603.7985229492188
1121736537,110.17060089111328,87621715345,110.17060089111328
3290240504,-628.34326171875,573814973846,-628.34326171875
1127298973,177.2172393798828,440335484305,177.2172393798828
1108470339,36.4787712097168,86254033296,36.4787712097168
1147491533,917.3250122070312,95600918932,917.3250732421875
3294968571,-916.9215698242188,178259510676,-916.9213256835938
3290951245,-671.7234497070312,575820622230,-671.7235107421875
1148298614,966.5853271484375,86531004820,966.5852661132812
1143347770,664.4097900390625,316307252630,664.4098510742188
3291405600,-699.455078125,554361706902,-699.4551391601562
3288822154,-541.7740478515625,657759216022,-541.7741088867188
1117556120,78.27655029296875,283892946320,78.27655029296875
3291185780,-686.038330078125,578279212438,-686.0382690429688
3283107137,-352.4785461425781,180566984086,-352.47857666015625
3294713636,-901.361572265625,176673097108,-901.3616943359375
1137945955,423.3545837402344,453137536406,423.3545227050781
3293755384,-842.87451171875,148781471124,-842.8746948242188
1148669272,989.20849609375,87549944212,989.20849609375
1146243312,841.1396484375,74173532564,841.1394653320312
1141926424,577.65771484375,431007307158,577.6576538085938
1141388276,544.811767578125,439870449046,544.811767578125
3280224105,-264.4953918457031,147684100502,-264.495361328125
1135785160,357.412353515625,91828087190,357.41229248046875
1141023007,522.5175170898438,417796757910,522.5174560546875
3256470075,-38.44749069213867,182135964048,-38.44749450683594
3294313675,-876.9498901367188,177872378260,-876.94970703125
1132213561,252.20790100097656,69818952086,252.20790100097656
3282976058,-348.47833251953125,180701204886,-348.478271484375
1130114459,220.1781463623047,310691309969,220.17811584472656
3273545684,-158.34307861328125,619954184593,-158.3430938720703
1147290609,905.0615844726562,96269369748,905.0617065429688
3289723876,-596.810791015625,661989165462,-596.8108520507812
1141271965,537.7127075195312,438725667222,537.7127075195312
1137086422,397.12371826171875,448895654294,397.1237487792969
1122123907,113.1259994506836,92896897425,113.1259994506836
3293706772,-839.907470703125,148312249748,-839.9076538085938
3290924590,-670.0965576171875,577279207830,-670.0966186523438
1147773976,934.56396484375,88627839380,934.5637817382812
3288772034,-538.7149658203125,657216529814,-538.7149658203125
3290970750,-672.9139404296875,575934834070,-672.9138793945312
3285431375,-423.4086608886719,645361862038,-423.40863037109375
1117027180,74.24105834960938,316110694800,74.24105072021484
1109190686,39.22667694091797,90598119824,39.22667694091797
3296220551,-993.3363647460938,174357256596,-993.3365478515625
3296225363,-993.6300659179688,174386842004,-993.6300659179688
3237723819,-7.867024898529053,568450433433,-7.867025852203369
3290272416,-630.291015625,573412821398,-630.2909545898438
1129775214,215.00167846679688,309774606737,215.00167846679688
1142242117,596.9260864257812,434069570966,596.9260864257812
3293188153,-808.2534790039062,146139534740,-808.2532958984375
1092966787,10.33435344696045,74089858450,10.334355354309082
3275471176,-187.7237548828125,653209650577,-187.72377014160156
1141979653,580.9065551757812,436619004310,580.9065551757812
1147364732,909.585693359375,96127570324,909.5857543945312
3274084423,-166.56358337402344,628493653393,-166.56358337402344
3288358329,-513.4644165039062,627109598614,-513.4644165039062
1144863895,756.9467163085938,69810684308,756.9464721679688
3295435957,-945.4485473632812,172882952596,-945.4485473632812
3282667710,-339.06829833984375,181740329366,-339.0682678222656
3276960545,-210.44972229003906,573546567057,-210.44972229003906
3290497553,-644.0322875976562,567273395606,-644.0322875976562
1135865684,359.8697509765625,91278885270,359.86968994140625
1108484433,36.532535552978516,87682285968,36.53253936767578
3288010550,-502.11883544921875,628550603158,-502.118896484375
3274538915,-173.4985809326172,629659969937,-173.49859619140625
1136648736,383.7666015625,456915437974,383.76666259765625
3283028277,-350.0719299316406,180465281430,-350.0719299316406
3294111138,-864.5880126953125,177206740372,-864.5880126953125
3265133793,-78.99390411376953,556199657872,-78.99390411376953
3289937855,-609.8710327148438,572711584150,-609.8710327148438
1131585540,242.62506103515625,275021070737,242.62506103515625
3289714216,-596.22119140625,662066718102,-596.2211303710938
3291905204,-729.948486328125,137472862612,-729.9483032226562
1145371398,787.9222412109375,75600528788,787.9222412109375
3282679362,-339.42388916015625,181774451094,-339.4238586425781
3285168604,-415.3895263671875,637980197270,-415.38958740234375
1117325611,76.51790618896484,286320132496,76.51790618896484
1136746954,386.76397705078125,456378583446,386.763916015625
1135279939,341.9942321777344,92341970326,341.99420166015625
1142239853,596.7879028320312,434098295190,596.787841796875
3287289944,-480.127685546875,620094949782,-480.1277160644531
3272753024,-146.248046875,646821603729,-146.24803161621094
3280472619,-272.0794372558594,146642470294,-272.07940673828125
1107656463,33.374080657958984,94775677328,33.374080657958984
1125390255,148.09251403808594,452340306321,148.09251403808594
1132546507,258.5765075683594,75809560982,258.5764465332031
3294103012,-864.092041015625,177169932692,-864.0919189453125
3279997020,-257.5653076171875,147392661910,-257.5653076171875
1137741917,417.1278381347656,448023304598,417.12786865234375
3295172123,-929.3453979492188,178937529748,-929.34521484375
1140210936,492.476318359375,413949663638,492.4762878417969
1136256707,371.8028259277344,457721780630,371.8027648925781
3276040916,-196.41729736328125,663210070417,-196.4173126220703
3268104352,-101.657470703125,178309924241,-101.657470703125
3287001287,-471.3185729980469,625488536982,-471.31854248046875
1139619992,474.442138671875,415022338454,474.4421691894531
3256664495,-39.189144134521484,181011497360,-39.18914794921875
3286949594,-469.74102783203125,625547945366,-469.7410583496094
3295367900,-941.294677734375,172964976020,-941.2944946289062
